MNG,AMP10_SIR,RES,,,AMC30_SIR,RES,,,CRO30_SIR,RES,,,CAZ30_SIR,RES,,,CTX30_SIR,RES,,,FEP30_SIR,RES,,,TZP110_SIR,RES,,,MEM10_SIR,RES,,,F100_SIR,N/A,,W5_SIR,RES,,,CN10_SIR,RES,,,CIP_SIR,RES,,,TET30_SIR,RES,,,AK30_SIR,RES,
37839,R,R,R0,,R,S,2,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,NA,S,4
37841,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0
37844,R,R,R0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
37845,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,NA,R,4,,S,R,1,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,R,R,R0
37849,R,R,R0,,R,S,2,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,S,2,,S,S,S0,,S,,,S,R,1,,S,S,S0,,R,R,R0,,R,R,R0,,S,S,S0
37858,R,R,R0,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,R,1,,S,S,S0,,S,,,R,R,R0,,S,R,1,,S,R,1,,R,R,R0,,S,R,1
37859,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,R,1
37860,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,S,S,S0,,S,S,S0
37861,S,R,1,,S,S,S0,,NA,S,4,,NA,S,4,,S,S,S0,,S,S,S0,,S,S,S0,,NA,S,4,,S,,,S,S,S0,,R,S,2,,S,S,S0,,R,S,2,,S,S,S0
37866,R,R,R0,,S,S,S0,,R,S,2,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
37867,R,R,R0,,S,R,1,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,S,R,1,,S,S,S0,,S,R,1
37869,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,S,2,,S,S,S0
37871,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,S,S,S0,,S,S,S0,,R,R,R0,,S,S,S0
37874,R,R,R0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,S,S0,,S,,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,NA,S,4
37875,R,R,R0,,S,S,S0,,R,R,R0,,R,R,R0,,R,R,R0,,R,R,R0,,S,S,S0,,S,S,S0,,R,,,R,R,R0,,S,S,S0,,S,R,1,,R,R,R0,,S,S,S0
